run_id	model_kind	outer_target_code	source_regime_id	source_species_codes	query_id	held_out_antibiotic	source_mic_supervision_status	support_budget_percent	seed	zero_shot_run_id	configuration_zero_shot_run_id	genome_representation	drug_representation	drug_view_fusion_method	cross_modal_architecture
dhfs__pretrained__outer_ec__kp_plus_se_to_ec__drug_held_out__ampicillin__b01__seed_20260816	source_pretrained_few_shot	ec	kp_plus_se_to_ec	kp|se	drug_held_out__ampicillin	ampicillin	source_seen	1	20260816	zs__outer_ec__kp_plus_se_to_ec__seed_20260816	zs__outer_ec__kp_plus_se_to_ec__seed_20260816	outer_ec__final_separate_encoder_low_rank_kmer_plus_AMR__corrective_hp_03_wide_regularised__rank_8	RDKit	single_view	drug_to_genome_FiLM
dhfs__pretrained__outer_ec__kp_plus_se_to_ec__drug_held_out__ampicillin__b01__seed_20260817	source_pretrained_few_shot	ec	kp_plus_se_to_ec	kp|se	drug_held_out__ampicillin	ampicillin	source_seen	1	20260817	zs__outer_ec__kp_plus_se_to_ec__seed_20260817	zs__outer_ec__kp_plus_se_to_ec__seed_20260817	outer_ec__final_separate_encoder_low_rank_kmer_plus_AMR__corrective_hp_03_wide_regularised__rank_8	RDKit	single_view	drug_to_genome_FiLM
dhfs__pretrained__outer_ec__kp_plus_se_to_ec__drug_held_out__ampicillin__b05__seed_20260815	source_pretrained_few_shot	ec	kp_plus_se_to_ec	kp|se	drug_held_out__ampicillin	ampicillin	source_seen	5	20260815	zs__outer_ec__kp_plus_se_to_ec__seed_20260815	zs__outer_ec__kp_plus_se_to_ec__seed_20260815	outer_ec__final_separate_encoder_low_rank_kmer_plus_AMR__corrective_hp_03_wide_regularised__rank_8	RDKit	single_view	drug_to_genome_FiLM
dhfs__pretrained__outer_ec__kp_plus_se_to_ec__drug_held_out__ampicillin__b05__seed_20260816	source_pretrained_few_shot	ec	kp_plus_se_to_ec	kp|se	drug_held_out__ampicillin	ampicillin	source_seen	5	20260816	zs__outer_ec__kp_plus_se_to_ec__seed_20260816	zs__outer_ec__kp_plus_se_to_ec__seed_20260816	outer_ec__final_separate_encoder_low_rank_kmer_plus_AMR__corrective_hp_03_wide_regularised__rank_8	RDKit	single_view	drug_to_genome_FiLM
dhfs__pretrained__outer_ec__kp_plus_se_to_ec__drug_held_out__ampicillin__b05__seed_20260817	source_pretrained_few_shot	ec	kp_plus_se_to_ec	kp|se	drug_held_out__ampicillin	ampicillin	source_seen	5	20260817	zs__outer_ec__kp_plus_se_to_ec__seed_20260817	zs__outer_ec__kp_plus_se_to_ec__seed_20260817	outer_ec__final_separate_encoder_low_rank_kmer_plus_AMR__corrective_hp_03_wide_regularised__rank_8	RDKit	single_view	drug_to_genome_FiLM
dhfs__pretrained__outer_ec__kp_plus_se_to_ec__drug_held_out__ampicillin__b10__seed_20260815	source_pretrained_few_shot	ec	kp_plus_se_to_ec	kp|se	drug_held_out__ampicillin	ampicillin	source_seen	10	20260815	zs__outer_ec__kp_plus_se_to_ec__seed_20260815	zs__outer_ec__kp_plus_se_to_ec__seed_20260815	outer_ec__final_separate_encoder_low_rank_kmer_plus_AMR__corrective_hp_03_wide_regularised__rank_8	RDKit	single_view	drug_to_genome_FiLM
dhfs__pretrained__outer_ec__kp_plus_se_to_ec__drug_held_out__ampicillin__b10__seed_20260816	source_pretrained_few_shot	ec	kp_plus_se_to_ec	kp|se	drug_held_out__ampicillin	ampicillin	source_seen	10	20260816	zs__outer_ec__kp_plus_se_to_ec__seed_20260816	zs__outer_ec__kp_plus_se_to_ec__seed_20260816	outer_ec__final_separate_encoder_low_rank_kmer_plus_AMR__corrective_hp_03_wide_regularised__rank_8	RDKit	single_view	drug_to_genome_FiLM
dhfs__pretrained__outer_ec__kp_plus_se_to_ec__drug_held_out__ampicillin__b10__seed_20260817	source_pretrained_few_shot	ec	kp_plus_se_to_ec	kp|se	drug_held_out__ampicillin	ampicillin	source_seen	10	20260817	zs__outer_ec__kp_plus_se_to_ec__seed_20260817	zs__outer_ec__kp_plus_se_to_ec__seed_20260817	outer_ec__final_separate_encoder_low_rank_kmer_plus_AMR__corrective_hp_03_wide_regularised__rank_8	RDKit	single_view	drug_to_genome_FiLM
dhfs__pretrained__outer_ec__kp_plus_se_to_ec__drug_held_out__aztreonam__b01__seed_20260815	source_pretrained_few_shot	ec	kp_plus_se_to_ec	kp|se	drug_held_out__aztreonam	aztreonam	source_seen	1	20260815	zs__outer_ec__kp_plus_se_to_ec__seed_20260815	zs__outer_ec__kp_plus_se_to_ec__seed_20260815	outer_ec__final_separate_encoder_low_rank_kmer_plus_AMR__corrective_hp_03_wide_regularised__rank_8	RDKit	single_view	drug_to_genome_FiLM
dhfs__pretrained__outer_ec__kp_plus_se_to_ec__drug_held_out__aztreonam__b01__seed_20260816	source_pretrained_few_shot	ec	kp_plus_se_to_ec	kp|se	drug_held_out__aztreonam	aztreonam	source_seen	1	20260816	zs__outer_ec__kp_plus_se_to_ec__seed_20260816	zs__outer_ec__kp_plus_se_to_ec__seed_20260816	outer_ec__final_separate_encoder_low_rank_kmer_plus_AMR__corrective_hp_03_wide_regularised__rank_8	RDKit	single_view	drug_to_genome_FiLM
dhfs__pretrained__outer_ec__kp_plus_se_to_ec__drug_held_out__aztreonam__b01__seed_20260817	source_pretrained_few_shot	ec	kp_plus_se_to_ec	kp|se	drug_held_out__aztreonam	aztreonam	source_seen	1	20260817	zs__outer_ec__kp_plus_se_to_ec__seed_20260817	zs__outer_ec__kp_plus_se_to_ec__seed_20260817	outer_ec__final_separate_encoder_low_rank_kmer_plus_AMR__corrective_hp_03_wide_regularised__rank_8	RDKit	single_view	drug_to_genome_FiLM
dhfs__pretrained__outer_ec__kp_plus_se_to_ec__drug_held_out__aztreonam__b05__seed_20260815	source_pretrained_few_shot	ec	kp_plus_se_to_ec	kp|se	drug_held_out__aztreonam	aztreonam	source_seen	5	20260815	zs__outer_ec__kp_plus_se_to_ec__seed_20260815	zs__outer_ec__kp_plus_se_to_ec__seed_20260815	outer_ec__final_separate_encoder_low_rank_kmer_plus_AMR__corrective_hp_03_wide_regularised__rank_8	RDKit	single_view	drug_to_genome_FiLM
dhfs__pretrained__outer_ec__kp_plus_se_to_ec__drug_held_out__aztreonam__b05__seed_20260816	source_pretrained_few_shot	ec	kp_plus_se_to_ec	kp|se	drug_held_out__aztreonam	aztreonam	source_seen	5	20260816	zs__outer_ec__kp_plus_se_to_ec__seed_20260816	zs__outer_ec__kp_plus_se_to_ec__seed_20260816	outer_ec__final_separate_encoder_low_rank_kmer_plus_AMR__corrective_hp_03_wide_regularised__rank_8	RDKit	single_view	drug_to_genome_FiLM
dhfs__pretrained__outer_ec__kp_plus_se_to_ec__drug_held_out__aztreonam__b05__seed_20260817	source_pretrained_few_shot	ec	kp_plus_se_to_ec	kp|se	drug_held_out__aztreonam	aztreonam	source_seen	5	20260817	zs__outer_ec__kp_plus_se_to_ec__seed_20260817	zs__outer_ec__kp_plus_se_to_ec__seed_20260817	outer_ec__final_separate_encoder_low_rank_kmer_plus_AMR__corrective_hp_03_wide_regularised__rank_8	RDKit	single_view	drug_to_genome_FiLM
dhfs__pretrained__outer_ec__kp_plus_se_to_ec__drug_held_out__aztreonam__b10__seed_20260815	source_pretrained_few_shot	ec	kp_plus_se_to_ec	kp|se	drug_held_out__aztreonam	aztreonam	source_seen	10	20260815	zs__outer_ec__kp_plus_se_to_ec__seed_20260815	zs__outer_ec__kp_plus_se_to_ec__seed_20260815	outer_ec__final_separate_encoder_low_rank_kmer_plus_AMR__corrective_hp_03_wide_regularised__rank_8	RDKit	single_view	drug_to_genome_FiLM
dhfs__pretrained__outer_ec__kp_plus_se_to_ec__drug_held_out__aztreonam__b10__seed_20260816	source_pretrained_few_shot	ec	kp_plus_se_to_ec	kp|se	drug_held_out__aztreonam	aztreonam	source_seen	10	20260816	zs__outer_ec__kp_plus_se_to_ec__seed_20260816	zs__outer_ec__kp_plus_se_to_ec__seed_20260816	outer_ec__final_separate_encoder_low_rank_kmer_plus_AMR__corrective_hp_03_wide_regularised__rank_8	RDKit	single_view	drug_to_genome_FiLM
dhfs__pretrained__outer_ec__kp_plus_se_to_ec__drug_held_out__aztreonam__b10__seed_20260817	source_pretrained_few_shot	ec	kp_plus_se_to_ec	kp|se	drug_held_out__aztreonam	aztreonam	source_seen	10	20260817	zs__outer_ec__kp_plus_se_to_ec__seed_20260817	zs__outer_ec__kp_plus_se_to_ec__seed_20260817	outer_ec__final_separate_encoder_low_rank_kmer_plus_AMR__corrective_hp_03_wide_regularised__rank_8	RDKit	single_view	drug_to_genome_FiLM
dhfs__pretrained__outer_ec__kp_plus_se_to_ec__drug_held_out__cefepime__b01__seed_20260815	source_pretrained_few_shot	ec	kp_plus_se_to_ec	kp|se	drug_held_out__cefepime	cefepime	source_seen	1	20260815	zs__outer_ec__kp_plus_se_to_ec__seed_20260815	zs__outer_ec__kp_plus_se_to_ec__seed_20260815	outer_ec__final_separate_encoder_low_rank_kmer_plus_AMR__corrective_hp_03_wide_regularised__rank_8	RDKit	single_view	drug_to_genome_FiLM
dhfs__pretrained__outer_ec__kp_plus_se_to_ec__drug_held_out__cefepime__b01__seed_20260816	source_pretrained_few_shot	ec	kp_plus_se_to_ec	kp|se	drug_held_out__cefepime	cefepime	source_seen	1	20260816	zs__outer_ec__kp_plus_se_to_ec__seed_20260816	zs__outer_ec__kp_plus_se_to_ec__seed_20260816	outer_ec__final_separate_encoder_low_rank_kmer_plus_AMR__corrective_hp_03_wide_regularised__rank_8	RDKit	single_view	drug_to_genome_FiLM
dhfs__pretrained__outer_ec__kp_plus_se_to_ec__drug_held_out__cefepime__b01__seed_20260817	source_pretrained_few_shot	ec	kp_plus_se_to_ec	kp|se	drug_held_out__cefepime	cefepime	source_seen	1	20260817	zs__outer_ec__kp_plus_se_to_ec__seed_20260817	zs__outer_ec__kp_plus_se_to_ec__seed_20260817	outer_ec__final_separate_encoder_low_rank_kmer_plus_AMR__corrective_hp_03_wide_regularised__rank_8	RDKit	single_view	drug_to_genome_FiLM
dhfs__pretrained__outer_ec__kp_plus_se_to_ec__drug_held_out__cefepime__b05__seed_20260815	source_pretrained_few_shot	ec	kp_plus_se_to_ec	kp|se	drug_held_out__cefepime	cefepime	source_seen	5	20260815	zs__outer_ec__kp_plus_se_to_ec__seed_20260815	zs__outer_ec__kp_plus_se_to_ec__seed_20260815	outer_ec__final_separate_encoder_low_rank_kmer_plus_AMR__corrective_hp_03_wide_regularised__rank_8	RDKit	single_view	drug_to_genome_FiLM
dhfs__pretrained__outer_ec__kp_plus_se_to_ec__drug_held_out__cefepime__b05__seed_20260816	source_pretrained_few_shot	ec	kp_plus_se_to_ec	kp|se	drug_held_out__cefepime	cefepime	source_seen	5	20260816	zs__outer_ec__kp_plus_se_to_ec__seed_20260816	zs__outer_ec__kp_plus_se_to_ec__seed_20260816	outer_ec__final_separate_encoder_low_rank_kmer_plus_AMR__corrective_hp_03_wide_regularised__rank_8	RDKit	single_view	drug_to_genome_FiLM
dhfs__pretrained__outer_ec__kp_plus_se_to_ec__drug_held_out__cefepime__b05__seed_20260817	source_pretrained_few_shot	ec	kp_plus_se_to_ec	kp|se	drug_held_out__cefepime	cefepime	source_seen	5	20260817	zs__outer_ec__kp_plus_se_to_ec__seed_20260817	zs__outer_ec__kp_plus_se_to_ec__seed_20260817	outer_ec__final_separate_encoder_low_rank_kmer_plus_AMR__corrective_hp_03_wide_regularised__rank_8	RDKit	single_view	drug_to_genome_FiLM
dhfs__pretrained__outer_ec__kp_plus_se_to_ec__drug_held_out__cefepime__b10__seed_20260815	source_pretrained_few_shot	ec	kp_plus_se_to_ec	kp|se	drug_held_out__cefepime	cefepime	source_seen	10	20260815	zs__outer_ec__kp_plus_se_to_ec__seed_20260815	zs__outer_ec__kp_plus_se_to_ec__seed_20260815	outer_ec__final_separate_encoder_low_rank_kmer_plus_AMR__corrective_hp_03_wide_regularised__rank_8	RDKit	single_view	drug_to_genome_FiLM
dhfs__pretrained__outer_ec__kp_plus_se_to_ec__drug_held_out__cefepime__b10__seed_20260816	source_pretrained_few_shot	ec	kp_plus_se_to_ec	kp|se	drug_held_out__cefepime	cefepime	source_seen	10	20260816	zs__outer_ec__kp_plus_se_to_ec__seed_20260816	zs__outer_ec__kp_plus_se_to_ec__seed_20260816	outer_ec__final_separate_encoder_low_rank_kmer_plus_AMR__corrective_hp_03_wide_regularised__rank_8	RDKit	single_view	drug_to_genome_FiLM
dhfs__pretrained__outer_ec__kp_plus_se_to_ec__drug_held_out__cefepime__b10__seed_20260817	source_pretrained_few_shot	ec	kp_plus_se_to_ec	kp|se	drug_held_out__cefepime	cefepime	source_seen	10	20260817	zs__outer_ec__kp_plus_se_to_ec__seed_20260817	zs__outer_ec__kp_plus_se_to_ec__seed_20260817	outer_ec__final_separate_encoder_low_rank_kmer_plus_AMR__corrective_hp_03_wide_regularised__rank_8	RDKit	single_view	drug_to_genome_FiLM
dhfs__pretrained__outer_ec__kp_plus_se_to_ec__drug_held_out__cefmetazole__b01__seed_20260815	source_pretrained_few_shot	ec	kp_plus_se_to_ec	kp|se	drug_held_out__cefmetazole	cefmetazole	source_seen	1	20260815	zs__outer_ec__kp_plus_se_to_ec__seed_20260815	zs__outer_ec__kp_plus_se_to_ec__seed_20260815	outer_ec__final_separate_encoder_low_rank_kmer_plus_AMR__corrective_hp_03_wide_regularised__rank_8	RDKit	single_view	drug_to_genome_FiLM
dhfs__pretrained__outer_ec__kp_plus_se_to_ec__drug_held_out__cefmetazole__b01__seed_20260816	source_pretrained_few_shot	ec	kp_plus_se_to_ec	kp|se	drug_held_out__cefmetazole	cefmetazole	source_seen	1	20260816	zs__outer_ec__kp_plus_se_to_ec__seed_20260816	zs__outer_ec__kp_plus_se_to_ec__seed_20260816	outer_ec__final_separate_encoder_low_rank_kmer_plus_AMR__corrective_hp_03_wide_regularised__rank_8	RDKit	single_view	drug_to_genome_FiLM
dhfs__pretrained__outer_ec__kp_plus_se_to_ec__drug_held_out__cefmetazole__b01__seed_20260817	source_pretrained_few_shot	ec	kp_plus_se_to_ec	kp|se	drug_held_out__cefmetazole	cefmetazole	source_seen	1	20260817	zs__outer_ec__kp_plus_se_to_ec__seed_20260817	zs__outer_ec__kp_plus_se_to_ec__seed_20260817	outer_ec__final_separate_encoder_low_rank_kmer_plus_AMR__corrective_hp_03_wide_regularised__rank_8	RDKit	single_view	drug_to_genome_FiLM
dhfs__pretrained__outer_ec__kp_plus_se_to_ec__drug_held_out__cefmetazole__b05__seed_20260815	source_pretrained_few_shot	ec	kp_plus_se_to_ec	kp|se	drug_held_out__cefmetazole	cefmetazole	source_seen	5	20260815	zs__outer_ec__kp_plus_se_to_ec__seed_20260815	zs__outer_ec__kp_plus_se_to_ec__seed_20260815	outer_ec__final_separate_encoder_low_rank_kmer_plus_AMR__corrective_hp_03_wide_regularised__rank_8	RDKit	single_view	drug_to_genome_FiLM
dhfs__pretrained__outer_ec__kp_plus_se_to_ec__drug_held_out__cefmetazole__b05__seed_20260816	source_pretrained_few_shot	ec	kp_plus_se_to_ec	kp|se	drug_held_out__cefmetazole	cefmetazole	source_seen	5	20260816	zs__outer_ec__kp_plus_se_to_ec__seed_20260816	zs__outer_ec__kp_plus_se_to_ec__seed_20260816	outer_ec__final_separate_encoder_low_rank_kmer_plus_AMR__corrective_hp_03_wide_regularised__rank_8	RDKit	single_view	drug_to_genome_FiLM
dhfs__pretrained__outer_ec__kp_plus_se_to_ec__drug_held_out__cefmetazole__b05__seed_20260817	source_pretrained_few_shot	ec	kp_plus_se_to_ec	kp|se	drug_held_out__cefmetazole	cefmetazole	source_seen	5	20260817	zs__outer_ec__kp_plus_se_to_ec__seed_20260817	zs__outer_ec__kp_plus_se_to_ec__seed_20260817	outer_ec__final_separate_encoder_low_rank_kmer_plus_AMR__corrective_hp_03_wide_regularised__rank_8	RDKit	single_view	drug_to_genome_FiLM
dhfs__pretrained__outer_ec__kp_plus_se_to_ec__drug_held_out__cefmetazole__b10__seed_20260815	source_pretrained_few_shot	ec	kp_plus_se_to_ec	kp|se	drug_held_out__cefmetazole	cefmetazole	source_seen	10	20260815	zs__outer_ec__kp_plus_se_to_ec__seed_20260815	zs__outer_ec__kp_plus_se_to_ec__seed_20260815	outer_ec__final_separate_encoder_low_rank_kmer_plus_AMR__corrective_hp_03_wide_regularised__rank_8	RDKit	single_view	drug_to_genome_FiLM
dhfs__pretrained__outer_ec__kp_plus_se_to_ec__drug_held_out__cefmetazole__b10__seed_20260816	source_pretrained_few_shot	ec	kp_plus_se_to_ec	kp|se	drug_held_out__cefmetazole	cefmetazole	source_seen	10	20260816	zs__outer_ec__kp_plus_se_to_ec__seed_20260816	zs__outer_ec__kp_plus_se_to_ec__seed_20260816	outer_ec__final_separate_encoder_low_rank_kmer_plus_AMR__corrective_hp_03_wide_regularised__rank_8	RDKit	single_view	drug_to_genome_FiLM
dhfs__pretrained__outer_ec__kp_plus_se_to_ec__drug_held_out__cefmetazole__b10__seed_20260817	source_pretrained_few_shot	ec	kp_plus_se_to_ec	kp|se	drug_held_out__cefmetazole	cefmetazole	source_seen	10	20260817	zs__outer_ec__kp_plus_se_to_ec__seed_20260817	zs__outer_ec__kp_plus_se_to_ec__seed_20260817	outer_ec__final_separate_encoder_low_rank_kmer_plus_AMR__corrective_hp_03_wide_regularised__rank_8	RDKit	single_view	drug_to_genome_FiLM
dhfs__pretrained__outer_ec__kp_plus_se_to_ec__drug_held_out__cefotaxime__b01__seed_20260815	source_pretrained_few_shot	ec	kp_plus_se_to_ec	kp|se	drug_held_out__cefotaxime	cefotaxime	source_seen	1	20260815	zs__outer_ec__kp_plus_se_to_ec__seed_20260815	zs__outer_ec__kp_plus_se_to_ec__seed_20260815	outer_ec__final_separate_encoder_low_rank_kmer_plus_AMR__corrective_hp_03_wide_regularised__rank_8	RDKit	single_view	drug_to_genome_FiLM
dhfs__pretrained__outer_ec__kp_plus_se_to_ec__drug_held_out__cefotaxime__b01__seed_20260816	source_pretrained_few_shot	ec	kp_plus_se_to_ec	kp|se	drug_held_out__cefotaxime	cefotaxime	source_seen	1	20260816	zs__outer_ec__kp_plus_se_to_ec__seed_20260816	zs__outer_ec__kp_plus_se_to_ec__seed_20260816	outer_ec__final_separate_encoder_low_rank_kmer_plus_AMR__corrective_hp_03_wide_regularised__rank_8	RDKit	single_view	drug_to_genome_FiLM
dhfs__pretrained__outer_ec__kp_plus_se_to_ec__drug_held_out__cefotaxime__b01__seed_20260817	source_pretrained_few_shot	ec	kp_plus_se_to_ec	kp|se	drug_held_out__cefotaxime	cefotaxime	source_seen	1	20260817	zs__outer_ec__kp_plus_se_to_ec__seed_20260817	zs__outer_ec__kp_plus_se_to_ec__seed_20260817	outer_ec__final_separate_encoder_low_rank_kmer_plus_AMR__corrective_hp_03_wide_regularised__rank_8	RDKit	single_view	drug_to_genome_FiLM
dhfs__pretrained__outer_ec__kp_plus_se_to_ec__drug_held_out__cefotaxime__b05__seed_20260815	source_pretrained_few_shot	ec	kp_plus_se_to_ec	kp|se	drug_held_out__cefotaxime	cefotaxime	source_seen	5	20260815	zs__outer_ec__kp_plus_se_to_ec__seed_20260815	zs__outer_ec__kp_plus_se_to_ec__seed_20260815	outer_ec__final_separate_encoder_low_rank_kmer_plus_AMR__corrective_hp_03_wide_regularised__rank_8	RDKit	single_view	drug_to_genome_FiLM
dhfs__pretrained__outer_ec__kp_plus_se_to_ec__drug_held_out__cefotaxime__b05__seed_20260816	source_pretrained_few_shot	ec	kp_plus_se_to_ec	kp|se	drug_held_out__cefotaxime	cefotaxime	source_seen	5	20260816	zs__outer_ec__kp_plus_se_to_ec__seed_20260816	zs__outer_ec__kp_plus_se_to_ec__seed_20260816	outer_ec__final_separate_encoder_low_rank_kmer_plus_AMR__corrective_hp_03_wide_regularised__rank_8	RDKit	single_view	drug_to_genome_FiLM
dhfs__pretrained__outer_ec__kp_plus_se_to_ec__drug_held_out__cefotaxime__b05__seed_20260817	source_pretrained_few_shot	ec	kp_plus_se_to_ec	kp|se	drug_held_out__cefotaxime	cefotaxime	source_seen	5	20260817	zs__outer_ec__kp_plus_se_to_ec__seed_20260817	zs__outer_ec__kp_plus_se_to_ec__seed_20260817	outer_ec__final_separate_encoder_low_rank_kmer_plus_AMR__corrective_hp_03_wide_regularised__rank_8	RDKit	single_view	drug_to_genome_FiLM
dhfs__pretrained__outer_ec__kp_plus_se_to_ec__drug_held_out__cefotaxime__b10__seed_20260815	source_pretrained_few_shot	ec	kp_plus_se_to_ec	kp|se	drug_held_out__cefotaxime	cefotaxime	source_seen	10	20260815	zs__outer_ec__kp_plus_se_to_ec__seed_20260815	zs__outer_ec__kp_plus_se_to_ec__seed_20260815	outer_ec__final_separate_encoder_low_rank_kmer_plus_AMR__corrective_hp_03_wide_regularised__rank_8	RDKit	single_view	drug_to_genome_FiLM
dhfs__pretrained__outer_ec__kp_plus_se_to_ec__drug_held_out__cefotaxime__b10__seed_20260816	source_pretrained_few_shot	ec	kp_plus_se_to_ec	kp|se	drug_held_out__cefotaxime	cefotaxime	source_seen	10	20260816	zs__outer_ec__kp_plus_se_to_ec__seed_20260816	zs__outer_ec__kp_plus_se_to_ec__seed_20260816	outer_ec__final_separate_encoder_low_rank_kmer_plus_AMR__corrective_hp_03_wide_regularised__rank_8	RDKit	single_view	drug_to_genome_FiLM
dhfs__pretrained__outer_ec__kp_plus_se_to_ec__drug_held_out__cefotaxime__b10__seed_20260817	source_pretrained_few_shot	ec	kp_plus_se_to_ec	kp|se	drug_held_out__cefotaxime	cefotaxime	source_seen	10	20260817	zs__outer_ec__kp_plus_se_to_ec__seed_20260817	zs__outer_ec__kp_plus_se_to_ec__seed_20260817	outer_ec__final_separate_encoder_low_rank_kmer_plus_AMR__corrective_hp_03_wide_regularised__rank_8	RDKit	single_view	drug_to_genome_FiLM
dhfs__pretrained__outer_ec__kp_plus_se_to_ec__drug_held_out__cefoxitin__b01__seed_20260815	source_pretrained_few_shot	ec	kp_plus_se_to_ec	kp|se	drug_held_out__cefoxitin	cefoxitin	source_seen	1	20260815	zs__outer_ec__kp_plus_se_to_ec__seed_20260815	zs__outer_ec__kp_plus_se_to_ec__seed_20260815	outer_ec__final_separate_encoder_low_rank_kmer_plus_AMR__corrective_hp_03_wide_regularised__rank_8	RDKit	single_view	drug_to_genome_FiLM
